vivino_id,winery,year,name,type,rating,price,country,region,image_url
2484848,Casa de Cello,2016,Casa de Cello Quinta de San Joanne Branco 2016,white,3.8,13.0,Portugal,Vinho Verde,//images.vivino.com/thumbs/qzBxs3PDTHujq01tAa4gOw_pl_480x640.png
2658364,Herdade da Ajuda,2011,Herdade da Ajuda Reserva Tinto 2011,red,3.9,11.5,Portugal,Alentejano,//images.vivino.com/labels/fkVj8-BeTFyFE6XdhVvnlQ.jpg
1722302,São João,2012,São João Lote Especial Tinto 2012,red,3.7,6.65,Portugal,Bairrada,//images.vivino.com/labels/zzwoEciiTjey33-WLFeo9Q.jpg
2069631,Quinta do Romeu,2016,Quinta do Romeu Tinto 2016,red,3.7,12.0,Portugal,Douro,//images.vivino.com/thumbs/2X0rgqFDQla1v1q7odBQsQ_pl_480x640.png
1744679,Costa Boal Family Estates,2011,Costa Boal Family Estates Flor do Tua Reserva Tinto 2011,red,3.8,75.0,Portugal,Trás-os-Montes,//images.vivino.com/thumbs/hYN8d9uJSs6g_Rh0VoCCFg_pl_480x640.png
1894092,Xutos & Pontapés,2017,Xutos & Pontapés Tinto 2017,red,3.8,9.0,Portugal,Alentejano,//images.vivino.com/labels/pWxYb7MvTx6SoVs_FhH4Cg.jpg
1197707,Sociedade Agrícola de Pias,2011,Sociedade Agrícola de Pias Encostas do Enxoé Tinto 2011,red,3.6,25.0,Portugal,Alentejano,//images.vivino.com/labels/PsUlPaUDTxiNF9Os_AXoSQ.jpg
1504338,Quinta do Ortigao,2011,Quinta do Ortigao 4 Dezasseis 2011,red,4.4,30.0,Portugal,Bairrada,//images.vivino.com/thumbs/HULAyCEoRO-Ge0AC76sHiQ_pl_480x640.png
8348940,Fiuza,2018,Fiuza Reserva Premium Sauvignon Blanc 2018,white,3.7,7.99,Portugal,Tejo,//images.vivino.com/labels/Xs5NCifTRD6_QpErTZiBtg.jpg
6349654,Quinta de São Sebastião,2018,Quinta de São Sebastião Syrah 2018,red,3.4,7.33,Portugal,Lisboa,//images.vivino.com/labels/8Jrd9lvcTwineN8t10MPVA.jpg
5264080,Quinta Maria Izabel,2018,Quinta Maria Izabel Vinhas da Princesa Branco 2018,white,4.4,47.44,Portugal,Douro,//images.vivino.com/thumbs/7DSdF1j0Sm62JBcIG7lpUA_pl_480x640.png
1621251,Mingorra,2017,Mingorra Terras d'Uva Rosé 2017,rosé,3.8,3.22,Portugal,Alentejano,//images.vivino.com/labels/EHgkhODESFm_fFeTgK1TDA.jpg
80415,Dow's,1980,Dow's Vintage Port 1980,fortified,4.5,134.15,Portugal,Porto,//images.vivino.com/thumbs/cn3BnyzeRbmnluOLoj756w_pl_480x640.png
1636879,Niepoort,2008,Niepoort Late Bottled Vintage Port 2008,fortified,3.7,46.75,Portugal,Porto,//images.vivino.com/thumbs/dKwIqIbTTaiHRhXi2PbPLg_pl_480x640.png
76378,Burmester,1987,Burmester Colheita Port 1987,fortified,4.3,55.89,Portugal,Porto,//images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pl_480x640.png
1135751,Rozès,2010,Rozès Vintage Port 2010,fortified,3.4,28.82,Portugal,Porto,//images.vivino.com/thumbs/OqNIG7I8RQO85l6YvLqkXg_pl_480x640.png
1135751,Rozès,1998,Rozès Vintage Port 1998,fortified,3.6,26.3,Portugal,Porto,//images.vivino.com/thumbs/OqNIG7I8RQO85l6YvLqkXg_pl_480x640.png
