id,rating,note,user
2484848,4.0,"A very nice Alvarinho 😊  An interesting fruit (and berry) basket of goosberry, green apple, tomato stem, pear, lime and lemon. All in a medium intensity. High in fruitiness and acidety gives a good balance.  Length is good, balance good. Life is good 😊",wine & mind
2484848,5.0,Had this wine in Lagos at the hotel we stayed in ... really a nice wine. ,Caroline Hulsman
2484848,4.0,"Great Alvarinho, loved it. Intense yellowish colour, nose of citrus, but the very ripe sweet lemon. Fresh and elegant, but not overly acidic at all, all really balanced, tasty and long.   Type of wine I could have every day. Very gastronomical too, went great with my burrata. Well done !",Martim Amaral Neto
2484848,4.0,"Very very calm. Excellent balance, light and calm. Fruity. No gas",Aleksey Lisenkov
2484848,3.0,"Candied lemon, hay, beeswax, chalky. Doesn't fulfil its promise in the mouth, rather neutral with a slightly bitter end.",Peter Arijs
2484848,3.5,"Delicate aromas, very floral, light white melon, crisp acidity, some salinity, subtle elegant flavours ",Rosanna Bucknill
2484848,3.5,"✅ Still delivering after 5 years, this Alvarinho made by traditional Quinta de Sanjoanne has a golden yellow colour, still shiny and transparent. Aromas of grilled pineapple, green apples, ripened oranges. Still powerful acidity, flavours are complex mineral nuances, orange zest, peaches in syrup. Finish is dry, long, fresh. 100% Alvarinho, fermented in stainless steel vats followed by aging in steel vats and bottle. Paired with ""bacalhoada"" au gratin.   ",Marco Carmini
2484848,4.0,"Citrusy and slightly sweet, smooth. A wonderful wine",Lauren Adie
2484848,3.5,Interesting nose of orange peel.,Mielies
2484848,4.5,A wonderful surprise. Aged and supreme. ,Sergio Raposo Frade
2484848,4.0,Like a LDH white. Didn’t know you could age a Alvahriho. ,Winston Chen
2484848,3.5,Excellent wine. Very good value for money. ,Luis Ricardo Silva Viegas
2658364,4.0,This wine from alentejo has a soft elegant nose with aromas of red and black fruits; it is full bodied with pro eminent tannins; bold wine with rich notes of forest fruits and high acidity  Moderate length ,EdTheWineAdvocate
2658364,3.5,"VERONA BELO HORIZONTE MG  3.3 Good QPR. Ruby red colour, mix fruits, compote, spices, polite tannins, good acidity, agreeable finish.  VERONA BELO HORIZONTE MG. 3.3 Boa relação preço/prazer. Vermelho rubi, frutas mistas, compota, especiarias, taninos polidos boa acidez, final agradável.",MARCELO BRANDÃO
2658364,3.5,Fine red at the price. Good first taste...but doesn't hold for long.,Jens Blomgren-Hansen
2658364,4.0,"I had this wine two years ago. Another bottle after resting in the cellar but In my opinion not better now, although still an excellent wine. A bit more balanced and smooth. Fully recommended. ",Alexandre Gregoski
2658364,3.5,"Clear, medium ruby. Clean nose, medium intensity, aromas of strawberry jam, blackcurrant, chocolate, vanilla, toast. Dry. Full body, medium acidity, medium but firm tannins. Flavours of strawberry jam, blackcurrant, chocolate, vanilla, toast. Medium finish. Very good.",Fernando Kfouri
2658364,3.0,Barrel aging clearly notable but doesn't add much smoothness or depth to this wine,Jarkko Salo
1722302,4.0,Love at first sight.,Rui Francisco
1722302,3.5,Very nice full balanced red but with a slight sweet aftertaste that reminded me of Pinot noir even though this was a mix of four grapes and nothing to do with Pinot noir ,Peter Stewart
1722302,3.5,"Very nice red blend from Bairrada, Portugal. I got this bottle directly from winery, after relaxing and picturesque ride from Luso. Wine itself consists of 30% Baga, 30% Touriga Nacional, 25% Shiraz and 15% Cabernet Sauvignon and it aged 6 months in new oak barrels. It has dark ruby colour, nose is very rich and pleasant, while palate reveals berries. Wine is well balanced and long lasting.",Zoran Bogdanovic
