,id,note
0,2484848,"A very nice Alvarinho 😊  An interesting fruit (and berry) basket of goosberry, green apple, tomato stem, pear, lime and lemon. All in a medium intensity. High in fruitiness and acidety gives a good balance.  Length is good, balance good. Life is good 😊"
1,2484848,Had this wine in Lagos at the hotel we stayed in ... really a nice wine. 
2,2484848,"Great Alvarinho, loved it. Intense yellowish colour, nose of citrus, but the very ripe sweet lemon. Fresh and elegant, but not overly acidic at all, all really balanced, tasty and long.   Type of wine I could have every day. Very gastronomical too, went great with my burrata. Well done !"
3,2484848,"Very very calm. Excellent balance, light and calm. Fruity. No gas"
4,2484848,"Candied lemon, hay, beeswax, chalky. Doesn't fulfil its promise in the mouth, rather neutral with a slightly bitter end."
5,2484848,"Delicate aromas, very floral, light white melon, crisp acidity, some salinity, subtle elegant flavours "
6,2484848,"✅ Still delivering after 5 years, this Alvarinho made by traditional Quinta de Sanjoanne has a golden yellow colour, still shiny and transparent. Aromas of grilled pineapple, green apples, ripened oranges. Still powerful acidity, flavours are complex mineral nuances, orange zest, peaches in syrup. Finish is dry, long, fresh. 100% Alvarinho, fermented in stainless steel vats followed by aging in steel vats and bottle. Paired with ""bacalhoada"" au gratin.   "
7,2484848,"Citrusy and slightly sweet, smooth. A wonderful wine"
8,2484848,Interesting nose of orange peel.
9,2484848,A wonderful surprise. Aged and supreme. 
10,2484848,Like a LDH white. Didn’t know you could age a Alvahriho. 
11,2484848,Excellent wine. Very good value for money. 
12,2658364,This wine from alentejo has a soft elegant nose with aromas of red and black fruits; it is full bodied with pro eminent tannins; bold wine with rich notes of forest fruits and high acidity  Moderate length 
13,2658364,"VERONA BELO HORIZONTE MG  3.3 Good QPR. Ruby red colour, mix fruits, compote, spices, polite tannins, good acidity, agreeable finish.  VERONA BELO HORIZONTE MG. 3.3 Boa relação preço/prazer. Vermelho rubi, frutas mistas, compota, especiarias, taninos polidos boa acidez, final agradável."
14,2658364,Fine red at the price. Good first taste...but doesn't hold for long.
15,2658364,"I had this wine two years ago. Another bottle after resting in the cellar but In my opinion not better now, although still an excellent wine. A bit more balanced and smooth. Fully recommended. "
16,2658364,"Clear, medium ruby. Clean nose, medium intensity, aromas of strawberry jam, blackcurrant, chocolate, vanilla, toast. Dry. Full body, medium acidity, medium but firm tannins. Flavours of strawberry jam, blackcurrant, chocolate, vanilla, toast. Medium finish. Very good."
17,2658364,Barrel aging clearly notable but doesn't add much smoothness or depth to this wine
18,1722302,Love at first sight.
19,1722302,Very nice full balanced red but with a slight sweet aftertaste that reminded me of Pinot noir even though this was a mix of four grapes and nothing to do with Pinot noir 
20,1722302,"Very nice red blend from Bairrada, Portugal. I got this bottle directly from winery, after relaxing and picturesque ride from Luso. Wine itself consists of 30% Baga, 30% Touriga Nacional, 25% Shiraz and 15% Cabernet Sauvignon and it aged 6 months in new oak barrels. It has dark ruby colour, nose is very rich and pleasant, while palate reveals berries. Wine is well balanced and long lasting."
21,1722302,Rich smoky and solid. Canny
22,1722302,Very nice fruit
23,1722302,Light.  Tannins not intense.  Light spicy. Good finish. 
24,1722302,"Tried for the baga grape. Good flavor and easy to drink, but overall a little bland for my liking."
25,1722302,"Assez quelconque, mis à part de l'animal, idem en bouche."
26,1722302,"Tastes very different from other white wines, but expected more!!"
27,1722302,"A bit vinegary, not too bad with food."
28,1722302,"Light and fruity, pleasant to drink. Amazing raspberry notes from the Touriga-Nacional."
29,1722302,of a browny plum colour. a smell of brown and blue hay barrel (a masculine bouquet) leather and aniseed. mature tannins round earthy  a touch of violets which are not sweet. andrea has  synaesthesia 
30,1722302,"Very good, dry and fruit with wood notes "
31,1722302,Had it open for one hour before tasting and it could have had a bit more of time. Intense purple Dão with a leathery
32,1722302,"It is very classy and elegant, with very ripe tannins, powerful black fruits and intense, perfumed flavors. This wine could certainly age for 5–10 years. "
33,2069631,"Smooth, organic and not acid."
34,2069631,Good and equilibrated. Excellent price value. 
35,2069631,"Lazy Sunday, rainy day... a good day to open a bottle of wine.  👃 mildly spicy, warm, black pepper, red fruit ( strawberry, cherry) and vanilla notes.  The body is extremely light, but it’s good regardless, balanced, low acidity and a moderate aftertaste.  I was excited it to be more bold because of the year but I guess since it’s organic, that might have a impact. "
36,2069631,"Red fruit notes on the tongue, high tannins. A bit too rough for my taste. "
37,2069631,Lovely after a tough week on a lockdown Friday. 
38,2069631,"3.5-5. dark purple with nose of red fruit and pepper. Medium body, tannin and acidity. Dryish with a little chewiness. Wnba."
39,2069631,"Tart cherry and a slight floral note on the nose. Palate is all cherry. Smooth, light, and drinkable, but a bit lacking in depth or complexity. "
40,2069631,"Nice taste of red fruit and citrus fruit, but a little bit on the tannic/acidic side. Not very complex. It goes along quite well with a vegan Bolognese pasta."
41,2069631,Open taste. More fruity than Tempranillo grapes. Less tannins. 
42,2069631,"Incredibly deep purple, candied fruits with some holiday spice on the nose. Drinks thin, easy. Low complexity, cherry, vanilla, Ash, doesn't linger. Pretty simple wine, no complaints from plum's <$20 picks. "
43,2069631,"Delicious floral notes. Old world earthiness with a classic Port red blend flavor profile.  Composed of a field blend of estate fruit: Touriga Nacional (45%) Touriga Franca (25%) Sousão (20%) Tinta Roriz(5%) Tinta Cão (5%)  Deep dark purple! Faint nose of red cherry and soil.  No mistaking these grapes! Hearty red fruit, raspberry, blackberry, and subtle meat and slate, but mostly fruit driven. A surprising amount of acidity and a med full body.  A nice drinking wine with or without food at a good price.   "
44,2069631,A classic Douro earthy full flavors back a black cherry opening . Smooth pleasant and very good value for money at 12:99
45,2069631,Spicy and floral characters
46,2069631,Formidable Douro wine!!! Aromas of cherry cassis and bitter degistive
